Questions,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?," In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective."," In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie soundtrack of ""Terminator 2: Judgment Day,"" where Arnold Schwarzenegger played a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.; In 1990, Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.; Guns N' Roses performed a promo for the movie ""Last Action Hero"" in 1993, where Arnold Schwarzenegger played a former New York Police detective.","1. In the year 1990, Guns N' Roses showcased their hit song ""You Could Be Mine"" for the film ""Terminator 2: Judgment Day,"" featuring Arnold Schwarzenegger as a retired New York Police detective.;2. The year 1990 marked the time when Guns N' Roses performed their song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;3. Guns N' Roses' performance of ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day"" took place in the year 1990, with Arnold Schwarzenegger portraying a former New York Police detective.;4. In the movie ""Terminator 2: Judgment Day,"" released in 1990, Arnold Schwarzenegger played a former New York Police detective, and Guns N' Roses performed their song ""You Could Be Mine."";5. The song ""You Could Be Mine"" by Guns N' Roses was performed for the movie ""Terminator 2: Judgment Day"" in 1990, with Arnold Schwarzenegger portraying a former New York Police detective.",YES;YES;YES;YES;YES,"1. Guns N' Roses did not perform the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective in 1990.;2. The year Guns N' Roses performed the song ""You Could Be Mine"" for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective was not 1990.;3. Arnold Schwarzenegger was not a former New York Police detective in the movie for which Guns N' Roses performed ""You Could Be Mine"" in 1990.;4. ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective was not the movie for which Guns N' Roses performed ""You Could Be Mine"" in 1990.;5. Guns N' Roses did not perform ""You Could Be Mine"" in any year other than 1990 for a movie starring Arnold Schwarzenegger as a former New York Police detective.",NO;YES;YES;NO;NO,0.45,yes
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?," Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants."," Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.; Brown State Fishing Lake is located in the United States, a country with an estimated population of over 331 million inhabitants.","1. Brown State Fishing Lake resides within the United States, a nation boasting an estimated population of over 331 million people.;2. The United States, home to Brown State Fishing Lake, is a country with an estimated population of more than 331 million inhabitants.;3. In the United States, where Brown State Fishing Lake is situated, the population is estimated to exceed 331 million people.;4. Brown State Fishing Lake is found in the United States, a country with an estimated population of over 331 million residents.;5. The United States, home to Brown State Fishing Lake, has an estimated population of over 331 million people.",YES;YES;NO;YES;NO,1. Brown State Fishing Lake is not located in a country with an estimated population of over 331 million inhabitants.;2. The country where Brown State Fishing Lake is located does not have an estimated population of over 331 million inhabitants.;3. Brown State Fishing Lake is not situated in a country with a population of how many inhabitants (less than 331 million).;4. The population of the country where Brown State Fishing Lake is located is not over 331 million inhabitants.;5. Brown State Fishing Lake is located in a country with a population of fewer than 331 million inhabitants.,YES;NO;YES;NOT SURE;NOT SURE,0,no
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? "," Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup."," Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece band setup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo, while Wolf Alice is a band with multiple members.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs solo or with a smaller band, while Wolf Alice is known for their four-piece lineup.; Badly Drawn Boy, a solo artist, typically has a higher instrument-to-person ratio compared to Wolf Alice, a band.; Badly Drawn Boy, a solo artist, typically has a higher instrument-to-person ratio compared to Wolf Alice, a band.; Badly Drawn Boy typically performs with a lower instrument-to-person ratio compared to Wolf Alice, as Badly Drawn Boy often performs as a solo artist, while Wolf Alice is a band with multiple members playing various instruments.","1. Badly Drawn Boy's performance act usually features a smaller number of instruments relative to the number of band members compared to Wolf Alice, who are recognized for their four-piece band setup.;2. Wolf Alice's performance act typically has a higher instrument-to-person ratio compared to Badly Drawn Boy, as the latter often performs solo or with a smaller band.;3. In terms of the instrument-to-person ratio, Wolf Alice's performance act tends to be more instrumentally dense compared to Badly Drawn Boy, who often performs with a smaller band or even solo.;4. Badly Drawn Boy's performance act generally involves fewer instruments per person compared to Wolf Alice, due to the latter's four-piece band setup.;5. Wolf Alice's performance act typically boasts a higher instrument-to-person ratio compared to Badly Drawn Boy, given that the former is known for their four-piece band, while the latter often performs solo or with a smaller band.",YES;YES;YES;YES;YES,"1. Wolf Alice typically performs with a higher instrument-to-person ratio compared to Badly Drawn Boy, as Wolf Alice is known for their four-piece band setup, while Badly Drawn Boy often performs solo or with a smaller band.;2. Badly Drawn Boy has a higher person-to-instrument ratio compared to Wolf Alice.;3. The instrument-to-person ratio for Wolf Alice is lower than that of Badly Drawn Boy, as Wolf Alice often performs with a four-piece band, while Badly Drawn Boy is known for solo or smaller band performances.;4. Badly Drawn Boy's performances have a higher person count compared to the number of instruments used, while Wolf Alice's performances have a higher instrument count compared to the number of band members.;5. Wolf Alice's performances have a lower instrument-to-person ratio compared to Badly Drawn Boy, as Wolf Alice is known for their four-piece band setup, while Badly Drawn Boy often performs solo or with a smaller band.",YES;NOT SURE;YES;NOT SURE;YES,0,no
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?"," The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties."," The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a global conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.; The Livesey Hal War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.","1. The Livesey Hal War Memorial honors those who perished during World War II, a war that caused more than 60 million casualties.;2. The fallen of the World War II conflict are remembered by the Livesey Hal War Memorial, a war that resulted in over 60 million casualties.;3. The Livesey Hal War Memorial pays tribute to the victims of World War II, a war that resulted in over 60 million casualties.;4. The Livesey Hal War Memorial commemorates the casualties of World War II, a war that resulted in over 60 million deaths.;5. The Livesey Hal War Memorial honors the fallen of World War II, a war that resulted in over 60 million casualties and claimed countless lives.",YES;YES;YES;YES;YES,"1. The Livesey Hal War Memorial does not commemorate the fallen of World War II.;2. World War II is not the war that the Livesey Hal War Memorial commemorates the fallen of, which had over 60 million casualties.;3. The Livesey Hal War Memorial does not commemorate the fallen of a conflict that resulted in over 60 million casualties.;4. The war that the Livesey Hal War Memorial commemorates the fallen of did not have over 60 million casualties.;5. World War II is not the war that had over 60 million casualties and is commemorated by the Livesey Hal War Memorial.",YES;YES;NO;NO;NO,0,no
"Ellie Goulding worked with what other writers on her third studio album, Delirium?"," Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium."," Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.; Ellie Goulding collaborated with Max Martin, Greg Kurstin, and Jim Eliot on her third studio album, Delirium.","1. Ellie Goulding teamed up with Max Martin, Greg Kurstin, and Jim Eliot for her third studio album, Delirium.;2. On her third studio album, Delirium, Ellie Goulding joined forces with Max Martin, Greg Kurstin, and Jim Eliot.;3. Max Martin, Greg Kurstin, and Jim Eliot were the other writers Ellie Goulding worked with on her third studio album, Delirium.;4. Ellie Goulding's third studio album, Delirium, features collaborations with Max Martin, Greg Kurstin, and Jim Eliot.;5. The third studio album, Delirium, by Ellie Goulding includes collaborations with Max Martin, Greg Kurstin, and Jim Eliot.",YES;YES;YES;YES;YES,"1. Ellie Goulding did not collaborate with Max Martin, Greg Kurstin, or Jim Eliot on her third studio album, Delirium.;2. On her third studio album, Delirium, Ellie Goulding did not work with any of the writers mentioned: Max Martin, Greg Kurstin, or Jim Eliot.;3. Ellie Goulding did not collaborate with Max Martin, Greg Kurstin, or Jim Eliot for her third studio album, Delirium.;4. The writers Max Martin, Greg Kurstin, and Jim Eliot were not involved in Ellie Goulding's third studio album, Delirium.;5. Ellie Goulding did not include Max Martin, Greg Kurstin, or Jim Eliot as collaborators on her third studio album, Delirium.",NO;NO;YES;YES;YES,0,no
"Based on a True Story... is an album by which country music star, with the single My Eyes?"," The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw."," The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by the country music star Jason Aldean.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by the country music star Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.; The album ""Based on a True Story"" with the single ""My Eyes"" is by Tim McGraw.","1. Tim McGraw released the album ""Based on a True Story"" featuring the single ""My Eyes"".;2. The country music single ""My Eyes"" is part of Tim McGraw's album ""Based on a True Story"".;3. ""My Eyes"" is a track on Tim McGraw's album titled ""Based on a True Story"".;4. Tim McGraw is the artist behind the album ""Based on a True Story"", which includes the single ""My Eyes"".;5. The single ""My Eyes"" can be found on Tim McGraw's album ""Based on a True Story"".",YES;YES;YES;YES;YES,"1. The album ""Based on a True Story"" with the single ""My Eyes"" is not by Tim McGraw.;2. Tim McGraw did not release the album ""Based on a True Story"" with the single ""My Eyes"".;3. ""My Eyes"" is not a single from Tim McGraw's album ""Based on a True Story"".;4. The artist who released the album ""Based on a True Story"" with the single ""My Eyes"" is not Tim McGraw.;5. Tim McGraw did not produce the single ""My Eyes"" that is part of the album ""Based on a True Story"".",YES;NO;YES;YES;YES,0.05,no
Were the bands Skin Yard and Ostava from the U.S.?," Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles."," Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from San Francisco, California.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava are American bands, with Skin Yard originating from Seattle and Ostava from Los Angeles.; Yes, both Skin Yard and Ostava were American bands. Skin Yard was from Seattle, Washington, and Ostava was from Los Angeles, California.","1. Both Skin Yard and Ostava are musical groups that hail from the United States, with Skin Yard originating in Seattle and Ostava in Los Angeles.;2. Skin Yard, a band, is based in Seattle, while Ostava, another band, is from Los Angeles, making both American bands.;3. Seattle is the birthplace of Skin Yard, an American band, while Los Angeles is the home of Ostava, another American band.;4. Skin Yard, an American band, was formed in Seattle, and Ostava, another American band, was established in Los Angeles.;5. Both Skin Yard and Ostava are musical groups that originated in the United States, with Skin Yard in Seattle and Ostava in Los Angeles.",YES;YES;YES;YES;YES,"1. Neither Skin Yard nor Ostava are American bands.;2. Skin Yard is not an American band.;3. Ostava is not an American band.;4. Neither Skin Yard nor Ostava originated from the U.S.;5. Skin Yard did not originate from Seattle, and Ostava did not originate from Los Angeles. (This is a slight deviation from the answer, but it negates the information about their origins, which was part of the answer.)",NO;NO;YES;YES;NO,0,yes
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?," The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount."," The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Osiris Child: Science Fiction Volume One.""; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Osiris Child: Science Fiction Volume One.""; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.; The youngest daughter of Lady Mary-Gaye Curzon, Sadie Frost, stars in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.","1. In the 2017 film ""Patrick"", Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, shares the screen with Douglas Smith and Lucien Laviscount.;2. The 2017 film ""Patrick"" features Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, along with Douglas Smith and Lucien Laviscount.;3. Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, is a cast member in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.;4. The 2017 film ""Patrick"" includes Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, as one of its stars, alongside Douglas Smith and Lucien Laviscount.;5. In the 2017 film ""Patrick"", Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, acts alongside Douglas Smith and Lucien Laviscount.",YES;NO;NO;YES;YES,"1. Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, does not star in the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.;2. ""Patrick"" is not a 2017 film in which Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, stars with Douglas Smith and Lucien Laviscount.;3. Douglas Smith and Lucien Laviscount do not star in the 2017 film ""Patrick"" with Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon.;4. The 2017 film ""Patrick"" does not feature Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, as one of its stars alongside Douglas Smith and Lucien Laviscount.;5. Sadie Frost, the youngest daughter of Lady Mary-Gaye Curzon, is not one of the stars of the 2017 film ""Patrick"" alongside Douglas Smith and Lucien Laviscount.",YES;NO;YES;YES;YES,0.15,no
When was the palace founded at which Columba de Dunbar died in 1435?," The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century."," The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the early 12th century.; The palace at Dunbar, where Columba de Dunbar died in 1435, was likely founded during the reign of King David I of Scotland in the 12th century.","1. The palace at Dunbar, where Columba de Dunbar passed away in 1435, was probably established during the rule of King David I of Scotland in the 12th century.;2. The palace in Dunbar, where Columba de Dunbar died in 1435, was likely constructed during the reign of King David I of Scotland in the 12th century.;3. The palace in Dunbar, where Columba de Dunbar perished in 1435, was likely founded during the time of King David I of Scotland in the 12th century.;4. The palace at Dunbar, where Columba de Dunbar breathed his last in 1435, was likely built during the reign of King David I of Scotland in the 12th century.;5. The palace in Dunbar, where Columba de Dunbar expired in 1435, was likely erected during the rule of King David I of Scotland in the 12th century.",YES;YES;YES;YES;YES,"1. The palace at Dunbar, where Columba de Dunbar died in 1435, was not likely founded during the reign of King David I of Scotland in the 12th century.;2. King David I of Scotland did not found the palace at Dunbar, where Columba de Dunbar died in 1435, in the 12th century.;3. The palace at Dunbar, where Columba de Dunbar died in 1435, was founded after the reign of King David I of Scotland in the 12th century.;4. The palace at Dunbar, where Columba de Dunbar died in 1435, was not founded during Columba de Dunbar's lifetime.;5. The palace at Dunbar, where Columba de Dunbar died in 1435, was founded before King David I of Scotland's reign in the 12th century.",YES;YES;NO;NO;YES,0,no
The author of Sexual Politics attended which British University?," Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York."," Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.; Stella Rimington, not the author of Sexual Politics, but the former Director General of MI5 (British Security Service), attended the University of Sussex. The author of Sexual Politics, Kate Millett, attended Barnard College in New York.","1. Stella Rimington, the ex-Director General of MI5, studied at the University of Sussex, while Kate Millett, the author of Sexual Politics, pursued her education at Barnard College in New York.;2. It was Kate Millett, the author of Sexual Politics, who attended Barnard College in New York, not Stella Rimington, who studied at the University of Sussex.;3. Stella Rimington, the former head of MI5, earned her degree from the University of Sussex, whereas Kate Millett, the author of Sexual Politics, graduated from Barnard College in New York.;4. The author of Sexual Politics, Kate Millett, completed her studies at Barnard College in New York, unlike Stella Rimington, who studied at the University of Sussex.;5. While Kate Millett, the author of Sexual Politics, studied at Barnard College in New York, Stella Rimington, the former Director General of MI5, attended the University of Sussex.",YES;YES;YES;YES;YES,"1. Stella Rimington, the author of Sexual Politics, attended the University of Sussex.;2. Kate Millett, not the former Director General of MI5, attended Barnard College in New York.;3. The author of Sexual Politics did not attend the University of Sussex.;4. Barnard College in New York, not the University of Sussex, is where the author of Sexual Politics studied.;5. The former Director General of MI5, not Kate Millett, attended the University of Sussex.",NO;YES;NO;YES;YES,0,no
